year,academic_type,source_type,source_of_fund,students
2017,OPT,International,Foreign Private Sponsor,0
2017,OPT,International,International Organization,0
2017,OPT,U.S.,Current Employment,203462
2017,OPT,U.S.,U.S. College or University,0
2017,OPT,U.S.,U.S. Government,0
2017,OPT,U.S.,U.S. Private Sponsor,0
2017,OPT,Other,Other Sources,0
2018,Undergraduate,International,Personal and Family,360660
2018,Undergraduate,International,Foreign Government or University,27212
2018,Undergraduate,International,Foreign Private Sponsor,2592
2018,Undergraduate,International,International Organization,432
2018,Undergraduate,U.S.,Current Employment,0
2018,Undergraduate,U.S.,U.S. College or University,38010
2018,Undergraduate,U.S.,U.S. Government,432
2018,Undergraduate,U.S.,U.S. Private Sponsor,1296
2018,Undergraduate,Other,Other Sources,1296
2018,Graduate,International,Personal and Family,218450
2018,Graduate,International,Foreign Government or University,12472
2018,Graduate,International,Foreign Private Sponsor,3024
2018,Graduate,International,International Organization,756
2018,Graduate,U.S.,Current Employment,1890
2018,Graduate,U.S.,U.S. College or University,137571
2018,Graduate,U.S.,U.S. Government,1134
2018,Graduate,U.S.,U.S. Private Sponsor,756
2018,Graduate,Other,Other Sources,1890
2018,Non-Degree,International,Personal and Family,44761
2018,Non-Degree,International,Foreign Government or University,7045
2018,Non-Degree,International,Foreign Private Sponsor,810
2018,Non-Degree,International,International Organization,62
2018,Non-Degree,U.S.,Current Employment,125
2018,Non-Degree,U.S.,U.S. College or University,7793
2018,Non-Degree,U.S.,U.S. Government,436
2018,Non-Degree,U.S.,U.S. Private Sponsor,748
2018,Non-Degree,Other,Other Sources,561
2018,OPT,International,Personal and Family,0
2018,OPT,International,Foreign Government or University,0
2018,OPT,International,Foreign Private Sponsor,0
2018,OPT,International,International Organization,0
2018,OPT,U.S.,Current Employment,223085
2018,OPT,U.S.,U.S. College or University,0
2018,OPT,U.S.,U.S. Government,0
2018,OPT,U.S.,U.S. Private Sponsor,0
2018,OPT,Other,Other Sources,0
2019,Undergraduate,International,Personal and Family,351811
2019,Undergraduate,International,Foreign Government or University,20966
2019,Undergraduate,International,Foreign Private Sponsor,1677
2019,Undergraduate,International,International Organization,0
2019,Undergraduate,U.S.,Current Employment,419
2019,Undergraduate,U.S.,U.S. College or University,38158
2019,Undergraduate,U.S.,U.S. Government,419
2019,Undergraduate,U.S.,U.S. Private Sponsor,1258
2019,Undergraduate,Other,Other Sources,4613
2019,Graduate,International,Personal and Family,213803
2019,Graduate,International,Foreign Government or University,10110
2019,Graduate,International,Foreign Private Sponsor,2621
2019,Graduate,International,International Organization,374
2019,Graduate,U.S.,Current Employment,2995
2019,Graduate,U.S.,U.S. College or University,136669
2019,Graduate,U.S.,U.S. Government,1123
2019,Graduate,U.S.,U.S. Private Sponsor,749
2019,Graduate,Other,Other Sources,5991
2019,Non-Degree,International,Personal and Family,38820
2019,Non-Degree,International,Foreign Government or University,7159
2019,Non-Degree,International,Foreign Private Sponsor,2095
2019,Non-Degree,International,International Organization,291
2019,Non-Degree,U.S.,Current Employment,175
2019,Non-Degree,U.S.,U.S. College or University,7624
2019,Non-Degree,U.S.,U.S. Government,466
2019,Non-Degree,U.S.,U.S. Private Sponsor,640
2019,Non-Degree,Other,Other Sources,931
2019,OPT,International,Personal and Family,0
2019,OPT,International,Foreign Government or University,0
2019,OPT,International,Foreign Private Sponsor,0
2019,OPT,International,International Organization,0
2019,OPT,U.S.,Current Employment,223539
2019,OPT,U.S.,U.S. College or University,0
2019,OPT,U.S.,U.S. Government,0
2019,OPT,U.S.,U.S. Private Sponsor,0
2019,OPT,Other,Other Sources,0
2020,Undergraduate,International,Personal and Family,299703
2020,Undergraduate,International,Foreign Government or University,14391
2020,Undergraduate,International,Foreign Private Sponsor,1799
2020,Undergraduate,International,International Organization,360
2020,Undergraduate,U.S.,Current Employment,360
2020,Undergraduate,U.S.,U.S. College or University,35259
2020,Undergraduate,U.S.,U.S. Government,360
2020,Undergraduate,U.S.,U.S. Private Sponsor,1439
2020,Undergraduate,Other,Other Sources,6116
2020,Graduate,International,Personal and Family,174843
2020,Graduate,International,Foreign Government or University,7903
2020,Graduate,International,Foreign Private Sponsor,2305
2020,Graduate,International,International Organization,329
2020,Graduate,U.S.,Current Employment,3293
2020,Graduate,U.S.,U.S. College or University,132367
2020,Graduate,U.S.,U.S. Government,659
2020,Graduate,U.S.,U.S. Private Sponsor,329
2020,Graduate,Other,Other Sources,7244
2020,Non-Degree,International,Personal and Family,19755
2020,Non-Degree,International,Foreign Government or University,613
2020,Non-Degree,International,Foreign Private Sponsor,169
2020,Non-Degree,International,International Organization,0
2020,Non-Degree,U.S.,Current Employment,21
2020,Non-Degree,U.S.,U.S. College or University,381
2020,Non-Degree,U.S.,U.S. Government,21
2020,Non-Degree,U.S.,U.S. Private Sponsor,85
2020,Non-Degree,Other,Other Sources,106
2020,OPT,International,Personal and Family,0
2020,OPT,International,Foreign Government or University,0
2020,OPT,International,Foreign Private Sponsor,0
2020,OPT,International,International Organization,0
2020,OPT,U.S.,Current Employment,203885
2020,OPT,U.S.,U.S. College or University,0
2020,OPT,U.S.,U.S. Government,0
2020,OPT,U.S.,U.S. Private Sponsor,0
2020,OPT,Other,Other Sources,0
2021,Undergraduate,International,Personal and Family,285961
2021,Undergraduate,International,Foreign Government or University,11025
2021,Undergraduate,International,Foreign Private Sponsor,2067
2021,Undergraduate,International,International Organization,345
2021,Undergraduate,U.S.,Current Employment,0
2021,Undergraduate,U.S.,U.S. College or University,38588
2021,Undergraduate,U.S.,U.S. Government,689
2021,Undergraduate,U.S.,U.S. Private Sponsor,1378
2021,Undergraduate,Other,Other Sources,4479
2021,Graduate,International,Personal and Family,216810
2021,Graduate,International,Foreign Government or University,8087
2021,Graduate,International,Foreign Private Sponsor,2311
2021,Graduate,International,International Organization,385
2021,Graduate,U.S.,Current Employment,1925
2021,Graduate,U.S.,U.S. College or University,148262
2021,Graduate,U.S.,U.S. Government,770
2021,Graduate,U.S.,U.S. Private Sponsor,385
2021,Graduate,Other,Other Sources,6162
2021,Non-Degree,International,Personal and Family,23312
2021,Non-Degree,International,Foreign Government or University,3925
2021,Non-Degree,International,Foreign Private Sponsor,239
2021,Non-Degree,International,International Organization,34
2021,Non-Degree,U.S.,Current Employment,956
2021,Non-Degree,U.S.,U.S. College or University,4505
2021,Non-Degree,U.S.,U.S. Government,512
2021,Non-Degree,U.S.,U.S. Private Sponsor,102
2021,Non-Degree,Other,Other Sources,546
2021,OPT,International,Personal and Family,0
2021,OPT,International,Foreign Government or University,0
2021,OPT,International,Foreign Private Sponsor,0
2021,OPT,International,International Organization,0
2021,OPT,U.S.,Current Employment,184759
2021,OPT,U.S.,U.S. College or University,0
2021,OPT,U.S.,U.S. Government,0
2021,OPT,U.S.,U.S. Private Sponsor,0
2021,OPT,Other,Other Sources,0
2022,Undergraduate,International,Personal and Family,287467
2022,Undergraduate,International,Foreign Government or University,10776
2022,Undergraduate,International,Foreign Private Sponsor,4866
2022,Undergraduate,International,International Organization,0
2022,Undergraduate,U.S.,Current Employment,0
2022,Undergraduate,U.S.,U.S. College or University,37541
2022,Undergraduate,U.S.,U.S. Government,348
2022,Undergraduate,U.S.,U.S. Private Sponsor,1738
2022,Undergraduate,Other,Other Sources,4866
2022,Graduate,International,Personal and Family,283487
2022,Graduate,International,Foreign Government or University,7472
2022,Graduate,International,Foreign Private Sponsor,2335
2022,Graduate,International,International Organization,467
2022,Graduate,U.S.,Current Employment,2335
2022,Graduate,U.S.,U.S. College or University,163459
2022,Graduate,U.S.,U.S. Government,934
2022,Graduate,U.S.,U.S. Private Sponsor,467
2022,Graduate,Other,Other Sources,6071
2022,Non-Degree,International,Personal and Family,30504
2022,Non-Degree,International,Foreign Government or University,4858
2022,Non-Degree,International,Foreign Private Sponsor,219
2022,Non-Degree,International,International Organization,44
2022,Non-Degree,U.S.,Current Employment,131
2022,Non-Degree,U.S.,U.S. College or University,6609
2022,Non-Degree,U.S.,U.S. Government,394
2022,Non-Degree,U.S.,U.S. Private Sponsor,175
2022,Non-Degree,Other,Other Sources,832
2022,OPT,International,Personal and Family,0
2022,OPT,International,Foreign Government or University,0
2022,OPT,International,Foreign Private Sponsor,0
2022,OPT,International,International Organization,0
2022,OPT,U.S.,Current Employment,198793
2022,OPT,U.S.,U.S. College or University,0
2022,OPT,U.S.,U.S. Government,0
2022,OPT,U.S.,U.S. Private Sponsor,0
2022,OPT,Other,Other Sources,0
